URL,Burmese,Translated,Google Translate
https://twitter.com/BMFM_NYC/status/1389946456732229641,ကျောင်း လဲ တက်စေခြင်တယ် ၊ ကျောင်း သား ကျောင်းသူ တွေ ကို လဲ စိတ်မလုံ ခြုံ အောင် ၊ ကြောက် အောင် ၊ ကျောင်း တွင်း မှ တပ်စွဲ ဘယ် အချိန် အပစ် ခံ ရ ၊ ဘယ်တော့ မဒိမ်း အကျင့်ခံရ မလဲ (တိုင်းရင်း သားဒေသတွေမှ ဖြစ်တာ ကြာပေါ့ ဒါမျိုးတွေ) စ တာတွေနဲ့ ဘယ်လို စာသင်ကြမလဲ?#အရေးတော်ပုံအောင်ရမည်,(They) want the children to return to school but stationed the troops inside the school. How will learning happen when students do not feel safe due to fear of being shot at or being raped (which has long occurred to other ethnic groups). #WinTheRevolution,"I thought about going to school. To make students feel insecure, to be afraid When was the shooting from inside the school? When will they not be raped?"
https://twitter.com/BMFM_NYC/status/1374133030944706560,တို့ပြည်ထောင်စုကြီး သည် ၂ဝ ရာစု မှာ မျက်နှာ မရ ခဲ့သော် လဲ ၊ ၂ဝရာစုကိုကျော်၍ ၂၁ရာစု၌ တဟုန်း ထိုး တိုးတက် သွား မည့် နိုင်ငံ ဖြစ် လာလိမ့်မယ်။ ထိုသို့ဖြစ် လာ မှုကိုအကောင် အထည်ဖော် ရန် အားလုံး လက် မလျှော့ တန်း ဆက်လက် စည်းစည်းလုံးလုံး ကြီုးစားလုပ်ဆောင်သွား မည်။#အရေးတော်ပုံအောင်ရမည်,"Even though our republic could not be proud in the 20th century, it will be a rapidly developing country in the 21st century. Everyone will work hard together to make it a reality. #WintheUprising","The great union of the country did not have a face in the 20th century. Beyond the 20th century, in the 21st century, it will become a country that will develop rapidly. In order to implement this, we will all continue to work unitedly without giving up."
https://twitter.com/ZeeKwat23/status/1384083013256957954,တိုင်းရင်းသား လက်နက်ကိုင် နဲ့ စကစ တိုက်ပွဲ သတင်း တွေ ဖတ်ပြီး Moti ယူန်ိုင်တယ်။ ဒါပေမယ့် EAO တွေ ပြည်မ ထိ ဆင်းမတိုက်ပေးရင် အပြစ်ပြောပိုင်ခွင့် မရှိဘူး။ ဗမာတွေ အတွက် ဗမာ လက်နက်ကိုင် လိုလာသလို @CrphMyanmar de facto ရဖို့ က လည်း အချိန်နှင့် အမျှ အရေးကြီးနေပြီ။ #အရေးတော်ပုံအောင်ရမည်,"(We) can take motivation from the news of the wars between the armed ethnic forces and the military council forces. However, ethnic armed organizations cannot be blamed for if they do not come to fight in the mainland. As much as Burmans needs Barman armed forces, it is also extremely important for CRPH to acquire de facto. #WintheUprising","After reading the news about the beginning of the battle with the ethnic armed groups, I joined Moti. But if the EAOs do not reach the ground, they have no right to blame. As the Burmese need Burmese armed forces, getting @CrphMyanmar de facto is becoming more important than ever. #ค้วัยตั่ม่"
https://twitter.com/HanHtet50115059/status/1392071298222723074,"အာဏာ သိမ်းခံရတာ ရက်ပေါင်း ၁၀၀ မတရား အသတ်ခံရတဲ့လူ ၈၀၀ နီးပါး မတရား အဖမ်းခံရတဲ့လူ ၄၀၀၀ နီးပါး ရွှေစျေးက ၁၆ သိန်းကျော် ဒေါ်လာစျေးက ၁၆၀၀ ကျော် မအလ နဲ့ အပေါင်းအပါတစု ရဲ့ လှည်ကွက်ထဲ မှာ "" မအလ""တွေအမြန်ဆုံးနည်းနဲ့ချုပ်ငြိမ်ကြပါစေ #အရေးတော်ပုံအောင်ရမည် #ရက်၁၀၀ #၁၁ရက်၅လ၂၀၂၁ https://t.co/qIImLr0fCV","It’s been 100 days since the military coup and there have been 800 people who are brutally murdered, as well as 4000 people incarcerated. Gold price has gone past MMK 1.6 million and the dollar price is more than MMK 1600. (We) wish that Min Aung Hlaing and his accomplices be destroyed in their own tricks. #WintheUprising #100days #11thMay2021 (https://t.co/qIImLr0fCV)","100 days of seizure of power, almost 800 people were unjustly killed, almost 4,000 people were unjustly arrested, the price of gold is over 16,000,000 dollars, the price is over 1,600 dollars."
https://twitter.com/ashinkalyarna3/status/1507680667869409282,"တောင် တန်း မြေ ပြန့် အ တူ ချီ တက် ဖက် ဆစ် စစ် တပ် အ မြစ် ဖြတ် တောင်တန်းမြေပြန့် ညီညိီညာညာနဲ့ စစ်အာရူးတွေကို တွန်းလှန့်ဖိုရာ နှိုးဆော်ရင်း ချီတက်လာခဲ့သော""မန္တလေးသပိတ် အင်အားစု"" တို့ပြည်သူတွေ သွေးမြေကြရင်ခွေးနေရာမရအောင် မောင်းထုတ်ကြဟေး MDY Mar 26,202 #အရေးတော်ပုံအောင်ရမည် https://t.co/VMr26xFatd","March together through mountains and flat lands to unroot the fascist military. May our Mandalay strike forces, who are marching to rebel against the military maniacs, be able to kick them out! MDY March 26th 202 . #WintheUprising (https://t.co/VMr26xFatd)","The people of the ""Mandalay Strike Force"" marched along the plains of the mountains, across the rivers, across the rivers, and in the plains of the mountains."
https://twitter.com/ZtozM/status/1392150144494170113,ဒီလိုလူမျိုးမှ မနိုင်ရင် ဘယ်သူမှ မနိုင်တော့ဘူး။ EAOs အပါအဝင် အားတင်းပေးထားတဲ့ CDM ဝန်ထမ်းများနဲ့ ပြည်သူများကို အမြဲ ကျေးဇူးတင်လျက်ပါ။ အားလျော့စရာ ဘာအကြောင်းမှလည်း မရှိဘူး။ ပန်းတိုင်က တူတူပဲ။ လက်တွဲခေါ်ပြီး ဆက်သွားကြမယ်။ ✊ #အရေးတော်ပုံအောင်ရမည် Art by A moment with sugar 🧵 ends,"If these people do not win, no one else will. (We) thank Ethnic armed forces, CDM employees and general public. There is no reason to give up. The destination is the same. (We) will march forward hand-in-hand. ✊ #WintheUprising. Art by A moment with Sugar. 🧵 ends","No one can win if this kind of people can't win. Always grateful to the CDM staff and people for their support, including the EAOs. There is no reason to be discouraged. The goal is the same. We will continue together. ✊ #ชีไป่วิวิมวัว Art by A moment with sugar 🧵 ends"
https://twitter.com/Po13214129/status/1385947180934959104,ဘာမှလည်း မမျှော် လင့်တော့ ဘူး ဘယ်သူ့မှလည်း ကူပါ မပြောတော့ဘူး အားလုံး ရှင်းရှင်း လင်းလင်း မြင်လိုက်ပါပြီ ' လုံးဝ အုပ်ချုပ်၍ မရစေ ရ ' ဆိုတဲ့ အတိုင်း ညီညီ ညွတ်ညွတ်နဲ့ ဆက်ပြီး တွန်းလှန်သွားကြ ရအောင် 💪💪💪 #အရေးတော်ပုံအောင်ရမည် #စစ်အာဏာရှင်စနစ်ကျရှုံးရမည် https://t.co/FpVK0uotor,There will be no more wishes and cries for help. Everything is clear now. Let’s resist together according to “absolutely no military” 💪💪💪 #WintheUprising #DictatorshipMustFail (https://t.co/FpVK0uotor),"I don't expect anything anymore, and no one will help me anymore. I've seen it all clearly. Let's continue to fight with one accord as 'we cannot govern at all' 💪💪💪"
https://twitter.com/NayPhyo32694372/status/1366337373903089666,တို့ ပြည်သူတွေ ညီရဲ့လားဟေ့ ညီတယ် ဟေ့... ညီတယ် ဟေ့... #အရေးတော်ပုံအောင်ရမည် #ဒီမိုကရေစီရရှိရေး ဒို့ အရေး..... ဒို့ အရေး.... ည (၈) နာရီ သံပုံး တီး သပိတ် သပိတ် မှောက် မှောက် ဆန္ဒ ဆန္ဒ ပြ ပြ #အရေးတော်ပုံအောင်ရမည် https://t.co/3gaba7v4iI,Are we united? Yes we are! Yes we are! #WinTheUprising #OurRightToDemocracy…Our Right..Our Right!...(We) will strike the metal bins at 8 PM as the strike and protest. #WinTheUprising (https://t.co/3gaba7v4iI),It 's a good thing to have a good time. /t.co/3gaba7v4iI
https://twitter.com/slin40249779070/status/1370957786536800260,@keren_khin ကိုရီးယားမှာ နွေဦးတော်လှန်ရေးအတွက် ရံပုံငွေပွဲပါ ပွဲကို ဒီနေ့ ကိုရီးယား စံတော်ချိန် ညနေ၃ နာရီ၊ မြန်မာ စံတော်ချိန် နေ့လည် ၁၂:၃၀ အချိန်တွင် မှာ ပြုလုပ်မှာပါ ။ YouTube ကနေလည်း live လွှင့်သွားမှာပါ။ Live Link https://t.co/gLVFYTNxBo #အရေးတော်ပုံအောင်ရမည် 🇲🇲 https://t.co/5solHq85cd,"There will be a fundraising event for the Summer Uprising in Korea, at 3 PM Korean Time and 12:30 PM Myanmar time. There will be a live broadcast on YouTube as well. Live link https://t.co/gLVFYTNxBo #WinTheUprising 🇲🇲 https://t.co/5solHq85cd",@keren_khin is holding a fundraising event for the Spring Revolution in Korea today at 3pm KST. It will be held at 12:30 PM Myanmar Standard Time. It will also be broadcast live on YouTube. Live Link: https://t.co/gLVFYTNxBo
https://twitter.com/linntheingiwin/status/1371138748675551234,Generation Z တွေ နိုးထကြပါ ငါတို့တစ်ခုခုလုပ်မှဖြစ်တော့မယ်။ တို့ညီအကိုမောင်နှမတွေ အသက်ပေးခဲ့ရတာ ရာချီနေပြီ Plan A Plan B ဆွဲကြရအောင်ပါ။ နိုးထကြရအောင် GenZ တို့ရေ Share ပေးပါ။ GenZ Gp တစ်ခုလောက်ထောင်ပါ။ ပြီးရင် ပျံ့နှံ့အောင်လုပ်ပါ။ ဒါလေးပြောချင်တယ်။ #အရေးတော်ပုံအောင်ရမည် #GenZ,"Be awake the Generation Z, we must do something. Hundreds of our brothers and sisters have sacrificed their lives. Let’s prepare plan A and plan B. Please wake up Gen Z and please share the post. Please set up a Gen Z group and make it widespread. Would like to get this message across. #WinTheUprising #GenZ","Wake up Generation Z, we have to do something. My brothers and sisters have already given their lives hundreds of times. Let's draw Plan A Plan B. Let's wake up, GenZ, please share. Get a GenZ Gp. Then spread it. I want to say this. #ชี่วัววั่วั่ #GenZ"
https://twitter.com/liana_rem/status/1400123823601586187,မနက်ဖြန်ကစပီး ကျနော်တို့ ကလေးမြို့ကတော့ #stayathome စလုပ်ရတော့မယ် ကျနော် အရင်က ဘာလို့ဒီလို ဖြစ်လာလဲဆိုတာ သုံးသပ်ခဲ့တယ် ဘာလို့ သုံးသပ်ရလဲ ဆိုရင် လူတွေက ပေါ့လျော့နေလို့ဗျ ခုလဲ တူတူပဲ ဒီနေ့ထိ #COVID ပိုးတွေ့ရှိသူက ၇၂ယောက် ရှိသွားပါပီ တခြားမြို့တွေလဲ သတိရှိကြပါ #အရေးတော်ပုံအောင်ရမည် https://t.co/weDhiXWNw4,Our Kalay City will have to #stayathome starting tomorrow. I analyzed how this situation came into being before. I had to analyze because the people took it lightly. It is the same now and there are 72 people who tested positive for #Covid. (We) urged other cities to be cautious about it as well. #WinTheUprising (https://t.co/weDhiXWNw4),"Starting tomorrow, our child's town will have to start #stayathome. I analyzed why this happened before. Why is it because people are careless? It's still the same. 72 people have been diagnosed with #Covid. Other cities should be careful."
https://twitter.com/ZtozM/status/1400665551815335943,ဒီဟာလေးပါ ဖတ်ကြည့်ရင်း အချိန်ရရင် စဉ်းစားကြည့်ကြရအောင်။ ဘယ်လို ပြင်ဆင်ကြမလဲ ဘာညာပေါ့။l အနာဂတ် မြန်မာပြည်ကို စိတ်ကူးယဉ် ပုံဖော်ထားပြီး အဲဒီလမ်းကို သွားကြရအောင်။ ဘုံရန်သူကို ဖြုတ်ချတာက မှတ်တိုင်တစ်ခု ၊ federal democracy ဟာ ငါတို့ အားလုံးရဲ့ ပန်းတိုင် ✊ #အရေးတော်ပုံအောင်ရမည်,Let’s read this and ponder upon it if the time permits. How do we prepare? Let’s head towards the ideal Myanmar that (we) have visualized. To be able to take down our common enemy and establishing the federal democracy is our goal. #WinTheUprising,"If you have time to read this, let's think about it. How are we going to prepare? Let's envision the future of Burma and let's go that way. Taking down a common enemy is a milestone. Federal democracy is the goal of all of us ✊ #ชีวัยตั้าย"
https://twitter.com/TikeKoKo1/status/1378733341759864843,ကမ္ဘာကျော်အုံးမှာ ... စစ်အာဏာရှင်ကိုတိုက်ရင်း ..နဲ့ UN ရဲ့ အားနည်းချက် ထောက်ပြသွားတာ ..သိပ်လှတာပဲ ..အရှက်မကွဲချင်ရင် တော့ ..အမြန်တုန့်ပြန်ပေါ့ ..ဟုတ်ပြီလား ..ဒါပဲ GZ ဆိုတာ ..နင်တို့ လူသတ်လက်နက်ထက် အစွမ်းထက်တယ် .. ဒါကြောင့် သေချာပေါက် နိုင်မယ်ပြောတာ #အရေးတော်ပုံအောင်ရမည် #credit https://t.co/km4PO4GWiE,This will be world famous…It’s so beautiful how it pointed out UN’s shortcomings while fighting the military dictators. Respond quickly if (you) don’t want to be shamed. Okay? This is GenZ. (We) are more effective than your weapons. That’s why there will be a definite win. #WinTheRevolution. #credit (https://t.co/km4PO4GWiE),In a world-famous pillow...fighting a military dictator..and pointing out the weakness of the UN..it's so beautiful..if you don't want to be embarrassed..quickly respond..right?..that's what GZ is..you guys are more powerful than murderous weapons..that's why I'm sure I'll win. co/km4PO4GWiE
https://twitter.com/BMFM_NYC/status/1396639600660127745,မအလတို့ ရေ၊ မင်းတို့တွေ လှဲ့ ပတ် ပြီး အလှုပေး ပြီး တစ်ကောင် ပြီး တစ် ကောင် သေပေး ကြတာ ကျေးဇူးတင်တယ်။ ပစ္စည်းတွေများများ ယူလာခဲ့ သေမဲ့အတူတူ။ ကယားပြည် ရေ ကျေးဇူးတင် ဂုဏ် ပြုပါတယ်။ #အရေးတော်ပုံအောင်ရမည် #RejectMyanmarMilitaryCoup,"Min Aung Hlaing and the accomplices, thank you for going around and donating, while dying one after another. Take as much as you can before you die. Congratulations and thank you Kayah state. #WinTheUprising #RejectMyanmarMilitaryCoup","Maala, water, Thank you for all you guys have done for them and killed them one by one. I brought a lot of things and died together. Thank you and honor Kayah. #ชีไป้วัววั่มือ #RejectMyanmarMilitaryCoup"
https://twitter.com/HRmyanmar/status/1361280389407404035,Cyber law ကန့်ကွက်စာ UMFCCI က ဒီနေ့ထုတ်တာ ကြည့်ခြင်းအားဖြင့် ကျနော်တို့ ပြည်သူတွေ အနိုင်ရတော့မယ် အသာစည်းရနေပြီဆိုတာ သိသာလာတယ်။ သေချာတာ သူတို့က သာကူးတွေပါ။ ကျနော်တို့ ပြည်သူတွေ သာလာပြီ။ CDM ၁၀၀% လုပ်နိုင်ဖို့လည်းနီးလာပါပြီ #စစ်အာဏာရှင်စနစ်ကျရှုံးပါစေ #အရေးတော်ပုံအောင်ရမည် #Save,It is becoming obvious that our general public is winning by looking at the issuance of the objection letter by UMFCCI today. They are certainly traitors. We are gaining the upper hand now. It is drawing closer to 100% CDM #MilitaryDictatorshipMustFail #WinTheUprising #Save,"Looking at the cyber law objection letter issued by UMFCCI today, it is clear that our people are going to win. Of course they are good. Our people have come. It's getting close to making CDM 100% #스스트라이이스트니다 #지현이이이이 #Save"
https://twitter.com/myosattzarni/status/1369323445939564546,အကြီးမားဆုံး ဟာကွက်တစ်ခု ရှိပါတယ် ပြည်သူပါ မင်းခိုင်းတာ မလုပ်ဘူး မင်းကျွေးတာ မစားဘူး မင်းနဲ့ကို မဆက်ဆံဘူး မင်းနဲ့ဆက်ဆံတဲ့သူပါ မဆက်ဆံဘူးဆိုတဲ့ အာဏာဖီဆန်ခြင်းနဲ့ ရှုတ်ချရေး မူဝါဒတွေပါ အရှိုက်ထိလေ ရမ်းကားလေ ဖြစ်မှာပါ အောင်ပွဲဟာ လက်တကမ်းမှာ အားလုံးညီရင် ရပါမယ် #အရေးတော်ပုံအောင်ရမည်,"There is a massive weakness. The citizens will neither follow your orders nor eat what you feed. It is our policy to not deal with you or those who work with you. The more the damage is, the more unruly it will be. Victory is just an arm’s length if everyone is united. #WinTheUprising","There is one biggest loophole. People, you don't do what you ask."
https://twitter.com/UMgMg09804347/status/1383777650540355586,မြင်းခြံ အမှတ် ၆ စဝင်‌နေပြီ အင်အား ၇၀ နှင့် ၈၀ ခန့်ရှိ ခြေလျှင်ဆင်းသွားနေပြီ အမှတ် ၆ ကို ဝိုင်းကူကြပါ တခြားရပ်ကွက်များ နှင့် သတင်းဌာနများ မြင်းခြံကို ယခုည နားစွင့်ပေးကြပါ #အရေးတော်ပုံအောင်ရမည် 18.. 4..2021,"The troop of 70 to 80 men has started to enter Myin Chan Number 6 by foot. Please help the Number 6. For medias and other townships, please keep an eye on Myin Chan for tonight. #WinTheUprising 18..4..2021",Mying Farm No. 6 has already entered. About 70 to 80 troops are already going down. Please surround No. 6. Other neighborhoods and news outlets should listen to Mying Farm tonight.
https://twitter.com/soemyintkhine/status/1373651529958268933,ပန်းတိုင်ကိုပဲကြည့် သွားမယ့်လမ်း နဲ့ သွားမယ့်နည်း ကိုပဲ အာရုံထား Gen lee တွေ Gen SP(စောက်ပတ်စား) တွေ ပြောနေတာကို နားမယောင်နဲ့ ဂေါက်ရိုက်သလိုပါပဲ. မိမိ ရိုက်ချက် တွေ ပိုကောင်း သထက် ပိုကောင်းလာဖို့ပဲ အာရုံထား #အရေးတော်ပုံအောင်ရမည် https://t.co/IdL4goYIoJ,Focus on the destination and the tactic. Don’t listen to the Gen Lee and Gen SP (pussy eaters). It is like playing golf; focus on improving your swings. #WinTheUprising (https://t.co/IdL4goYIoJ),It's like playing golf without listening to what Gen Lee and Gen SP are saying. Just focus on making your shots better and better.
https://twitter.com/MAUNGKYAWSOEOO5/status/1358593586099462150,ဒီမြင်ကွင်းကို နောက်ဆုံးမြင်တွေ့ရသော မြန်မာပြည်တွင် အာဏာသိမ်းခြင်းကိုတွေ့ကြုံရသောမျိုးဆက် ကျွန်ုပ်တို့သာ နောက်ဆုံးဖြစ်စေလိုပါသည် 🙏🕊🕊 #အရေးတော်ပုံအောင်ရမည် ( ငါတို့ နိုင်လျှင် သူတို့သေဒဏ်) ( သူတို့ နိုင်လျှင် ငါတို့ ကျွန်ခံ ) Late Game ရောက်လာပီ Fighting 🖐🇲🇲 https://t.co/UdYOn4Bz5g,,"We want to be the last generation to experience a coup d'état in Burma, the last to see this scene."
https://twitter.com/ThisRin/status/1411010058742292484,တော်လှန်ရေး သမား ******************* မောင်ချောနွယ် မြေကြီးထဲမှာ မြုပ်နေပါလည်း ကျောက်ခဲဟာ ကျောက်ခဲ မာသည်ပဲလေ ။ မြေကြီးပေါ်မှာ ရောက်နေပါလည်း ကျောက်ခဲဟာ ကျောက်ခဲ မာသည်ပဲလေ ။ #July 2 coup #သွေးမအေး အသံမတိက် သံဃသမဂ္ဂသပိတ် #အရေးတော်ပုံအောင်ရမည် https://t.co/HyUc97yIqf,"The revolutionary **************** My brother may be deep in the mud but as hard as rock, be it underneath or above the ground. #July2Coup #StrikeofSanga #WinTheUprising (https://t.co/HyUc97yIqf)","Revolutionist ********************** Maung Choo Owqi is buried in the ground, but the stone is still hard as stone. Although it is on the ground, the stone is still a stone. #July 2 coup #The blood is not cold, the voice is not accurate, the union strike #明香是是 https://t.co/HyUc97yIqf"
https://twitter.com/pauhtai/status/1365524189889761280,တစ်ဘက် က ထောင်ထွက်လူမိုက် ဓားကိုင်လေးဂွကိုင်တွေ ပွဲထုတ်နေရချိန် တစ်ဘက် က နိုင်ငံတကာ မှာ ဝင်ဆန့်တဲ့ ပညာတတ်တွေ ထုတ်သုံးနေတာဟာ လူ့ အဖွဲ့အစည်း နှစ်ခု ရဲ့ ခြားနားချက်ကို ထင်ထင်ရှားရှား ပြနေတာပဲ crd #RejectMilitaryCoup #အရေးတော်ပုံအောင်ရမည် #Feb27Coup,"It is the clear difference between the two societies, where one uses the hooligans and the other uses the educated people. Crd #RejectMilitaryCoup #WinTheUprising #Feb27Coup","On the one hand, when the knife-wielding thugs out of prison are showing off, on the other hand, the international intellectuals are using it, which clearly shows the difference between the two societies."
